Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
Foundational reading interventions adapted for individuals who require augmentative and alternative communication (AAC): A systematic review of the research,https://link.springer.com/article/10.1007/s10882-020-09767-5,10.1007/s10882-020-09767-5,True,,2020,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journal of Developmental and Physical Disabilities,False,,April M. Yorke and Jessica Gosnell Caron and Nina Pukys and Emily Sternad and Christina Grecol and Carley Shermak
"Preparedness, training, and support for augmentative and alternative communication telepractice during the COVID-19 pandemic",https://pubs.asha.org/doi/abs/10.1044/2021_LSHSS-21-00159,10.1044/2021_lshss-21-00159,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018","Language, Speech, and Hearing Services in Schools",False,,Elizabeth E. Biggs and Elizabeth Burnett Rossi and Sarah N. Douglas and Michelle C. S. Therrien and Melinda R. Snodgrass
A simulation-based learning experience in augmentative and alternative communication using telepractice: speech pathology students' confidence and …,https://advancesinsimulation.biomedcentral.com/articles/10.1186/s41077-019-0113-x,10.1186/s41077-019-0113-x,True,,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Advances in Simulation,False,,Simone Howells and Elizabeth A. Cardell and Monique C. Waite and Andrea Bialocerkowski and Neil Tuttle
The use of augmentative and alternative communication in Cyprus: Findings from a preliminary survey,https://journals.sagepub.com/doi/pdf/10.1177/0265659018755523,10.1177/0265659018755523,True,,2018,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Child Language Teaching and Therapy,False,,Eliada Pampoulou and Eleni Theodorou and Kakia Petinou
Evaluation of the effectiveness of a training programme for nurses regarding augmentative and alternative communication with intubated patients using Kirkpatrick's …,https://onlinelibrary.wiley.com/doi/abs/10.1002/nop2.1531,10.1002/nop2.1531,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Nursing Open,False,,Marzieh Momennasab and Fatemeh Mohammadi and Fereshteh DehghanRad and Azita Jaberi
Judicious arrangement of symbols on a simulated augmentative and alternative communication display optimizes visual attention by individuals with Down syndrome,https://pubs.asha.org/doi/abs/10.1044/2021_JSLHR-21-00278,10.1044/2021_jslhr-21-00278,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018","Journal of Speech, Language, and Hearing Research",False,,Krista M. Wilkinson and Rick Gilmore and Yiming Qian
Planning for implementation science in clinical practice research: An augmentative and alternative communication example,https://pubs.asha.org/doi/abs/10.1044/2021_AJSLP-21-00085,10.1044/2021_ajslp-21-00085,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,False,,Cathy Binger and Natalie Douglas and Jennifer Kent-Walsh
Using Twitter to access the human right of communication for people who use Augmentative and Alternative Communication (AAC),https://www.tandfonline.com/doi/abs/10.1080/17549507.2017.1413137,10.1080/17549507.2017.1413137,True,,2018,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",International Journal of Speech-Language Pathology,False,,Bronwyn Hemsley and Stuart Palmer and Stephen Dann and Susan Balandin
Preoperative augmentative and alternative communication enhancement in pediatric tracheostomy,https://onlinelibrary.wiley.com/doi/abs/10.1002/lary.28288,10.1002/lary.28288,True,Preoperative augmentative and alternative communication enhancement in pediatric tracheostomy.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",The Laryngoscope,True,Scholar,Rachel Santiago and Michelle Howard and Natasha D. Dombrowski and Karen Watters and Mark S. Volk and Roger Nuss and John M. Costello and Reza Rahbar
“What have you been doing?”: Supporting displaced talk through augmentative and alternative communication video visual scene display technology,https://pubs.asha.org/doi/abs/10.1044/persp3.SIG12.123,10.1044/persp3.sig12.123,True,,2018,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Perspectives of the {ASHA} Special Interest Groups,False,,Jessica Caron and Christine Holyfield and Janice Light and David McNaughton
A systematic review of research on augmentative and alternative communication interventions for children aged 6–10 in the last decade,https://pubs.asha.org/doi/abs/10.1044/2021_LSHSS-20-00005,10.1044/2022_lshss-21-00191,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018","Language, Speech, and Hearing Services in Schools",False,,Oihana Leonet and Maria Orcasitas-Vicandi and Argia Langarika-Rocafort and Nahia Idoiaga Mondragon and Gorka Roman Etxebarrieta
"A systematic review of predictors, moderators, and mediators of augmentative and alternative communication (AAC) outcomes for children with autism spectrum …",https://www.tandfonline.com/doi/abs/10.1080/07434618.2018.1462849,10.1080/07434618.2018.1462849,True,,2018,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Augmentative and Alternative Communication,False,,Stephanie B. Sievers and David Trembath and Marleen Westerveld
A systematic review of Functional Communication Training (FCT) interventions involving augmentative and alternative communication in school settings,https://www.tandfonline.com/doi/abs/10.1080/07434618.2018.1461240,10.1080/07434618.2018.1461240,True,,2018,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Augmentative and Alternative Communication,False,,Virginia L. Walker and Kristin J. Lyon and Sheldon L. Loman and Samuel Sennott
Supporting Access to Mental Health Services for Patients Who Use Augmentative and Alternative Communication: A Proposed Framework and Suggestions for Future …,https://pubs.asha.org/doi/abs/10.1044/2022_AJSLP-22-00089,10.1044/2022_ajslp-22-00089,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,False,,Adrianna M. Noyes and Krista M. Wilkinson
Finding the best fit: examining the decision-making of augmentative and alternative communication professionals in the UK using a discrete choice experiment,https://bmjopen.bmj.com/content/9/11/e030274.abstract,10.1136/bmjopen-2019-030274,True,Finding the best fit_ examining the decision-making of augmentative and alternative communication professionals in the UK using a discrete choice experiment.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",{BMJ} Open,True,Scholar,Edward J D Webb and Yvonne Lynch and David Meads and Simon Judge and Nicola Randall and Juliet Goldbart and Stuart Meredith and Liz Moulam and Stephane Hess and Janice Murray
Multilingualism and augmentative and alternative communication: Examining language ideology and resulting practices,https://www.tandfonline.com/doi/abs/10.1080/07434618.2020.1811761,10.1080/07434618.2020.1811761,True,Multilingualism and augmentative and alternative communication_ Examining language ideology and resulting practices.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Augmentative and Alternative Communication,True,Scholar,Kerstin Monika TÃ¶nsing and Gloria Soto
Key word signing: Parents' experiences of an unaided form of augmentative and alternative communication (Lámh),https://journals.sagepub.com/doi/pdf/10.1177/1744629518790825,10.1177/1744629518790825,True,,2018,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journal of Intellectual Disabilities,False,,Michele Glacken and Denise Healy and Ursula Gilrane and Siobhan Healy-Mc Gowan and Seamus Dolan and Dympna Walsh-Gallagher and Carmel Jennings
Augmentative and Alternative Communication in an Elementary School Setting: A Case Study,https://pubs.asha.org/doi/abs/10.1044/2021_LSHSS-21-00052,10.1044/2021_lshss-21-00052,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018","Language, Speech, and Hearing Services in Schools",False,,Virginia L. Walker and Yun-Ching Chung
Creating a path for systematic investigation of children with cortical visual impairment who use augmentative and alternative communication,https://pubs.asha.org/doi/abs/10.1044/2021_AJSLP-20-00203,10.1044/2021_ajslp-20-00203,True,,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,False,,Jamie B. Boster and John W. McCarthy and Kathryn Brown and Alyson M. Spitzley and Sarah W. Blackstone
Voices from the field: strategies for effective telepractice for children with autism who use augmentative and alternative communication,https://pubs.asha.org/doi/abs/10.1044/2021_PERSP-21-00229,10.1044/2021_persp-21-00229,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Perspectives of the {ASHA} Special Interest Groups,False,,Elizabeth E. Biggs and Michelle C. S. Therrien and Melinda R. Snodgrass and Sarah N. Douglas
A qualitative evidence synthesis of the experiences and perspectives of communicating using augmentative and alternative communication (AAC),https://www.tandfonline.com/doi/abs/10.1080/17483107.2022.2105961,10.1080/17483107.2022.2105961,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Disability and Rehabilitation: Assistive Technology,False,,Katherine Broomfield and Deborah Harrop and Georgina L. Jones and Karen Sage and Simon Judge
Evaluating person-centered factors associated with brain–computer interface access to a commercial augmentative and alternative communication paradigm,https://www.tandfonline.com/doi/abs/10.1080/10400435.2021.1872737,10.1080/10400435.2021.1872737,True,Evaluating person-centered factors associated with brain_computer interface access to a commercial augmentative and alternative communication paradigm.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Assistive Technology,True,Scholar,Kevin M. Pitt and Jonathan S. Brumberg
Eye tracking measures reveal how changes in the design of displays for augmentative and alternative communication influence visual search in individuals with Down …,https://pubs.asha.org/doi/abs/10.1044/2019_AJSLP-19-0006,10.1044/2019_ajslp-19-0006,True,,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,False,,Krista M. Wilkinson and Marissa Madel
How are stakeholders with autism spectrum disorder included in the social validation of augmentative and alternative communication research? A scoping review,https://pubs.asha.org/doi/abs/10.1044/2020_AJSLP-20-00182,10.1044/2020_ajslp-20-00182,True,How are stakeholders with autism spectrum disorder included in the social validation of augmentative and alternative communication research_ A scoping review.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,True,Scholar,Kirsty Bastable and Sandra Klopper and Alecia Samuels and Shakila Dada
Appraising the quality of tools used to record patient-reported outcomes in users of augmentative and alternative communication (AAC): a systematic review,https://link.springer.com/article/10.1007/s11136-019-02228-3,10.1007/s11136-019-02228-3,True,,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Quality of Life Research,False,,Katherine Broomfield and Deborah Harrop and Simon Judge and Georgina Jones and Karen Sage
Identity-focused practice in augmentative and alternative communication services: A framework to support the intersecting identities of individuals with severe …,https://pubs.asha.org/doi/abs/10.1044/2022_AJSLP-21-00397,10.1044/2022_ajslp-21-00397,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,False,,Mary Claire Wofford and Billy T. Ogletree and Thales De Nardo
Chinese-English speaking family perspectives of augmentative and alternative communication use with their children,https://www.sciencedirect.com/science/article/pii/S0021992423000151,10.1016/j.jcomdis.2023.106315,True,,2023,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journal of Communication Disorders,False,,Tiantian Sun and Ryan P. Bowles and Sarah N. Douglas
Naturalistic augmentative and alternative communication instruction for practitioners and individuals with autism,https://journals.sagepub.com/doi/pdf/10.1177/1053451219833012,10.1177/1053451219833012,True,,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Intervention in School and Clinic,False,,Jennifer B. Ganz and Ee Rea Hong and Elizabeth Leuthold and Valeria Yllades
Teleintervention for users of augmentative and alternative communication devices: A systematic review,https://onlinelibrary.wiley.com/doi/abs/10.1111/dmcn.15387,10.1111/dmcn.15387,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Developmental Medicine {&}amp$mathsemicolon$ Child Neurology,False,,Saranda Bekteshi and Marco Konings and Petra Karlsson and Tamaya Van Criekinge and Bernard Dan and Elegast Monbaliu
"The relationship between operational competency, buy-in, and augmentative and alternative communication use in school-age children with autism",https://pubs.asha.org/doi/abs/10.1044/2018_AJSLP-17-0175,10.1044/2018_ajslp-17-0175,True,,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,False,,Jenna DeCarlo and Allison Bean and Samantha Lyle and Lindsey Paden Miller Cargill
Transitioning from a low-to high-tech Augmentative and Alternative Communication (AAC) system: effects on augmented and vocal requesting,https://www.tandfonline.com/doi/abs/10.1080/07434618.2020.1813196,10.1080/07434618.2020.1813196,True,,2020,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Augmentative and Alternative Communication,False,,Nouf M. Alzrayer
Tracking and classification of head movement for augmentative and alternative communication systems,https://www.mdpi.com/1424-8220/22/2/435,10.3390/s22020435,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Sensors,False,,Carlos Wellington P. Gon{\c{c}}alves and Rog{\'{e}}rio A. Richa and Antonio P. L. Bo
Optimized and predictive phonemic interfaces for augmentative and alternative communication,https://pubs.asha.org/doi/abs/10.1044/2019_JSLHR-S-MSC18-18-0187,10.1044/2019_jslhr-s-msc18-18-0187,True,,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018","Journal of Speech, Language, and Hearing Research",False,,Gabriel J. Cler and Katharine R. Kolin and Jacob P. Noordzij and Jennifer M. Vojtech and Susan K. Fager and Cara E. Stepp
… Animation to Pictorial Symbols for Supporting P300–Brain–Computer Interface Access to Augmentative and Alternative Communication Devices by Children,https://www.tandfonline.com/doi/abs/10.1080/10447318.2022.2121566,10.1080/10447318.2022.2121566,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",International Journal of Human{textendash}Computer Interaction,False,,Kevin M. Pitt and Zachary J. Cole and Joshua Zosky
Narrative interventions for children who use augmentative and alternative communication: A call and plan for future research,https://pubs.asha.org/doi/abs/10.1044/2022_PERSP-22-00007,10.1044/2022_persp-22-00007,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Perspectives of the {ASHA} Special Interest Groups,False,,Corinne Neal and Nancy Brady
… experts on factors impacting visual scene display complexity for augmentative and alternative communication and strategies for improving visual communication,https://pubs.asha.org/doi/abs/10.1044/2021_AJSLP-20-00350,10.1044/2021_ajslp-20-00350,True,__experts on factors impacting visual scene display complexity for augmentative and alternative communication and strategies for improving visual communication.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,True,Scholar,Kevin M. Pitt and John W. McCarthy
Roles of Animation in Augmentative and Alternative Communication: a Scoping Review,https://link.springer.com/article/10.1007/s40474-022-00255-3,10.1007/s40474-022-00255-3,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Current Developmental Disorders Reports,False,,Ralf W. Schlosser and Nicole Choe and Rajinder Koul and Howard C. Shane and Christina Yu and Mengxuan Wu
Challenges and opportunities in using augmentative and alternative communication (AAC) technologies: Design considerations for adults with severe disabilities,https://dl.acm.org/doi/abs/10.1145/3369457.3369473,10.1145/3369457.3369473,True,Challenges and opportunities in using augmentative and alternative communication _AAC_ technologies_ Design considerations for adults with severe disabilities.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",{ACM},True,Scholar,Filip Bircanin and Bernd Ploderer and Laurianne Sitbon and Andrew A. Bayor and Margot Brereton
Effects of a literacy feature in an augmentative and alternative communication app on single-word reading of individuals with severe autism spectrum disorders,https://journals.sagepub.com/doi/pdf/10.1177/1540796921992123,10.1177/1540796921992123,True,,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Research and Practice for Persons with Severe Disabilities,False,,Jessica Caron and Janice Light and David McNaughton
Development of a new high sensitivity mechanical switch for augmentative and alternative communication access in people with amyotrophic lateral sclerosis,https://link.springer.com/article/10.1186/s12984-019-0626-5,10.1186/s12984-019-0626-5,True,,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journal of {NeuroEngineering} and Rehabilitation,False,,M. Caligari and M. Godi and M. Giardini and R. Colombo
Augmentative and alternative communication for Aboriginal Australians: Developing core vocabulary for Yolŋu speakers,https://www.tandfonline.com/doi/abs/10.1080/07434618.2022.2128410,10.1080/07434618.2022.2128410,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Augmentative and Alternative Communication,False,,Rebecca Amery and Julie Gungungbuy Wunungmurra and Parimala Raghavendra and Gurima{\ng}u Bukuá¸»atjpi and Rachel Dikul Baker and Farrah Gumbula and Ruth Barker and Deborah Theodoros and Howard Amery and Libby Massey and Anne Lowell
Determining a Zulu core vocabulary for children who use augmentative and alternative communication,https://www.tandfonline.com/doi/abs/10.1080/07434618.2019.1692902,10.1080/07434618.2019.1692902,True,Determining a Zulu core vocabulary for children who use augmentative and alternative communication.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Augmentative and Alternative Communication,True,Scholar,Jocelyn Mngomezulu and Kerstin M. TÃ¶nsing and Shakila Dada and Nomadlozi B. Bokaba
Malaysian teachers' experience using augmentative and alternative communication with students,https://www.tandfonline.com/doi/abs/10.1080/07434618.2020.1785547,10.1080/07434618.2020.1785547,True,,2020,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Augmentative and Alternative Communication,False,,Susheel Joginder Singh and Zhi Zhi Diong and Rahayu Mustaffa Kamal
Physical education system and training framework based on human–computer interaction for augmentative and alternative communication,https://link.springer.com/article/10.1007/s10772-021-09942-9,10.1007/s10772-021-09942-9,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",International Journal of Speech Technology,False,,Hu wenjuan and R. Premalatha and R. S. Aiswarya
e-Pupil: IoT-based Augmentative and Alternative Communication device exploiting the pupillary near-reflex,https://ieeexplore.ieee.org/abstract/document/9984643/,10.1109/access.2022.3229143,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",{IEEE} Access,False,,Giovanni Chiarion and Francesco Ponzio and Stefano Terna and Cristina Moglia and Edoardo Patti and Santa Di Cataldo and Silvestro Roatta
Bridging the school and home divide for culturally and linguistically diverse families using augmentative and alternative communication systems,https://pubs.asha.org/doi/abs/10.1044/persp3.SIG12.154,10.1044/persp3.sig12.154,True,,2018,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Perspectives of the {ASHA} Special Interest Groups,False,,Mollie Mindel and Jeeva John
The Flipped Classroom Model as Applied to an Augmentative and Alternative Communication Course.,https://eric.ed.gov/?id=EJ1349471,10.30707/tlcsd6.1.1649037808.641379,True,The Flipped Classroom Model as Applied to an Augmentative and Alternative Communication Course..pdf,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Teaching and Learning in Communication Sciences and Disorders,True,Scholar,EJ Sanders;LC Keegan;M Culshaw;C Tomes
Working with children with cortical visual impairment who use augmentative and alternative communication: implications for improving current practice,https://www.tandfonline.com/doi/abs/10.1080/07434618.2022.2085622,10.1080/07434618.2022.2085622,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Augmentative and Alternative Communication,False,,Fei Luo and Sarah W. Blackstone and Jesse Canchola and Christine Roman-Lantzy
Parents' perspectives of an Australian augmentative and alternative communication service:“I clapped for my child”,https://www.tandfonline.com/doi/abs/10.1080/23297018.2020.1861552,10.1080/23297018.2020.1861552,True,,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Research and Practice in Intellectual and Developmental Disabilities,False,,Hilary Johnson and Marion Van Nierop and Teresa Iacono
A Guide to Incorporate Augmentative and Alternative Communication Into Functional Communication Training,https://journals.sagepub.com/doi/abs/10.1177/10534512221093785,10.1177/10534512221093785,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Intervention in School and Clinic,False,,Ciara L. Ousley and Tracy J. Raulston
Exploring relationships between teacher training and support strategies for students utilizing augmentative and alternate communication,https://meridian.allenpress.com/jisne/article-abstract/22/1/25/180263,10.9782/16-00044,True,Exploring relationships between teacher training and support strategies for students utilizing augmentative and alternate communication.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journal of International Special Needs Education,True,Scholar,Natalie R. Andzik and John M. Schaefer and Robert T. Nichols and Helen I. Cannella-Malone
Fostering communication about emotions: aided augmentative and alternative communication challenges and solutions,https://books.google.com/books?hl=en&lr=&id=NnwUEAAAQBAJ&oi=fnd&pg=PA313&dq=augmentative+and+alternative+communication&ots=F8ScrFc2me&sig=6Bye-tP8CEP4Z6F6KbVxcOs5-AI,,False,Fostering communication about emotions_ aided augmentative and alternative communication challenges and solutions.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,SciHub,
Effects of online training on educators' knowledge and use of system of least prompts to support augmentative and alternative communication,https://link.springer.com/article/10.1007/s10864-020-09374-6,10.1007/s10864-020-09374-6,True,,2020,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journal of Behavioral Education,False,,Ashley McCoy and David McNaughton
Augmentative and Alternative Communication on Autism Spectrum Disorder: Impacts on Communication,https://www.scielo.br/j/codas/a/QxhXpZ3jckz6K3dyCdbVhXq/abstract/?lang=en,,False,Augmentative and Alternative Communication on Autism Spectrum Disorder_ Impacts on Communication.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,Scholar,ET Pereira;ACA Montenegro;AGC Rosal;CCF Walter
Towards a methodology to support augmentative and alternative communication by means of personalized gestural interaction,https://dl.acm.org/doi/abs/10.1145/3274192.3274230,10.1145/3274192.3274230,True,,2018,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",{ACM},False,,R{\'{u}}bia E. O. Schultz Ascari and Roberto Pereira and Luciano Silva
"Designing augmentative and alternative communication systems with Aboriginal Australians: vocabulary representation, layout, and access",https://www.tandfonline.com/doi/abs/10.1080/07434618.2022.2129782,10.1080/07434618.2022.2129782,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Augmentative and Alternative Communication,False,,Rebecca Amery and Julie Gungungbuy Wunungmurra and Gurima{\ng}u Bukuá¸»atjpi and Rachel Dikul Baker and Farrah Gumbula and Elah Yunupingu and Parimala Raghavendra and Ruth Barker and Deborah Theodoros and Howard Amery and Libby Massey and Anne Lowell
Preservice education in augmentative and alternative communication: An update,https://pubs.asha.org/doi/abs/10.1044/2020_PERSP-19-00154,10.1044/2020_persp-19-00154,True,Preservice education in augmentative and alternative communication_ An update.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Perspectives of the {ASHA} Special Interest Groups,True,Scholar,Katherine M. DeJarnette and Jane R. Wegner
The changing world of augmentative and alternative communication (AAC): Examining three realities faced by today's AAC provider,https://pubs.asha.org/doi/abs/10.1044/persp3.SIG12.113,10.1044/persp3.sig12.113,True,,2018,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Perspectives of the {ASHA} Special Interest Groups,False,,Billy T. Ogletree and Summer McMurry and Megan Schmidt and Kaylan Evans
Augmentative and alternative communication course design and features: A survey of expert faculty and instructors,https://pubs.asha.org/doi/abs/10.1044/2021_AJSLP-20-00070,10.1044/2021_ajslp-20-00070,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,False,,Allison M. Sauerwein and Mackenzie M. Burris
Exploring augmentative and alternative communication use through collaborative planning and peer modelling: a descriptive case-study,https://www.tandfonline.com/doi/abs/10.1080/13603116.2020.1867383,10.1080/13603116.2020.1867383,True,,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",International Journal of Inclusive Education,False,,Amy Young and Sally Clendon and Elizabeth Doell
Visual attention to cued targets in simulated aided augmentative and alternative communication displays for individuals with intellectual and developmental disabilities,https://pubs.asha.org/doi/abs/10.1044/2021_JSLHR-20-00451,10.1044/2021_jslhr-20-00451,True,,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018","Journal of Speech, Language, and Hearing Research",False,,Krista M. Wilkinson and Tara O{\textquotesingle}Neill Zimmerman and Janice Light
