Term,Definition
Tau Proteins,A group of six highly soluble protein isoforms produced by alternative splicing from the gene MAPT. They have roles primarily in maintaining the stability of microtubules in axons and are abundant in the neurons of the central nervous system.
Technology-Related Assistance for Individuals with Disabilities Act of 1998,"This law provides funding to develop statewide,
consumer-responsive information and training programs designed to meet
the assistive technology (AT) needs of individuals with disabilities of
all ages."
Teratogenic,"Of, relating to, or causing developmental malformations of an embryo or fetus"
Text to Speech (TTS),"A method of producing synthesized speech. Messages are entered into the VOCA using orthographic symbols and ""translated"" electronically into speech output"
Theory of Mind,"The ability to attribute mental states — beliefs, intents, desires, emotions, knowledge, etc. — to oneself and to others. Necessary to understand that others have beliefs, desires, intentions, and perspectives that are different from one's own."
Topic Board,"A display on a communication board that designates which topic the speaker has chosen. It is similar to an alphabet board because it provides the listener with a cue, in this case the cue references the topic."
Total Communication," Is where the communication partner accompanies each picture or sign with the corresponding spoken word (aided language stimulation)."
Transcription,"A written or printed representation of something. In biology, the process of copying genetic information from DNA to mRNA"
Transition Planning,Transition planning is a formal process for helping kids with IEPs figure out what they want to do after high school and how to get there. It's required by the Individuals with Disabilities Education Act (IDEA).
Translocation,"Translocation means a change in location. It often refers to genetics, when part of a chromosome is transferred to another chromosome which can cause flaws."
Trauma,"A deeply distressing or disturbing experience, or in medicine, a physical injury"
Traumatic Brain Injury,"Brain dysfunction caused by an outside force, usually a violent blow to the head."
Tremor,"An involuntary, somewhat rhythmic, muscle contraction and relaxation involving oscillations or twitching movements of one or more body parts."
Trinucleotide,"A grouping of three nucleotides in a strand of DNA or RNA that is processed and expressed as an amino acid, the monomer of proteins"
Trisomy,"A condition in which an extra copy of a chromosome is present in the cell nuclei, causing developmental abnormalities."
Turn,
Ultra-Orphan (Incidence),"A disease so rare there is a lack of a market large enough to gain support and resources for discovering treatments for it, and no significant research towards a cure is being conducted."
Unaided Communication,"Non-spoken means of natural communication including gestures and facial expressions as well as manual signs and American Sign Language. Although often effective for high rate communication, unaided communication requires relatively high motor control and cognitive ability for effective results"
Uniparental Disomy,"The situation in which 2 copies of a chromosome come from the same parent, instead of 1 copy coming from the mother, and 1 copy coming from the father. Angelman syndrome (AS) and Prader-Willi syndrome (PWS) are examples of disorders that can be caused by uniparental disomy."
United States Society for Augmentative and Alternative Communication (USSAAC),An organization dedicated to supporting the needs and rights of people who use Augmentative and Alternative Communication (AAC). It was established in 1991 as a national chapter of the International Society for Augmentative and Alternative Communication (ISAAC)
Universal Design,"The design of buildings, products or environments to make them accessible to all people, regardless of age, disability or other factors"
Universal Design for Learning (UDL),"An educational framework based on research in the learning sciences, including cognitive neuroscience, that guides the development of flexible learning environments and learning spaces that can accommodate individual learning differences."
Universal Design Principles,"The guiding rules for effective universal design including: equitable use, flexibility in use, simple and intuitive, perceptible information, tolerance for error, low physical effort and size and space for approach and use"
User Interface,"The means by which the user and a computer system interact, in particular the use of input devices and software."
Utterance,"A unit of speech. In phonetic terms, an utterance is a stretch of spoken language that is preceded by silence and followed by silence or a change of speaker."
Variable,"Something that changes; an attribute or property of a person, event, or object that is known to vary in a given study."
Velopharyngeal,Of or relating to the soft palate and the pharynx (the membrane-lined cavity behind the nose and mouth)
Vestibule,"A space or cavity at the entrance to a canal, channel, tube, or vessel. For instance, the front of the mouth is a vestibule."
Visual Evoked Potential (VEP),A measurement of the electrical signal recorded at the scalp over the occipital cortex in response to light stimulus to show the functional integrity of optic nerves and vision
Visual Scene Display (VSD),"A personal AAC system system involving a highly contextualized picture, photograph, or virtual environment that includes people, actions, and/or objects against the backgrounds they exist in. "
Visual Schedule,A technique for people with disabilities that involves a graphic representation of scheduled tasks and activities. They are very useful for breaking down tasks that have multiple steps and ensuring that children follow rules and deadlines.
Visual Supports,"Using a picture or other visual item to communicate with a child who has difficulty understanding or using language. Visual supports can be photographs, drawings, objects, written words, or lists"
Visuals,
Vocabulary,The body of words used in a particular language.
Vocalization,"Speech, communication using the human voice. Utterance of a sound or word"
Voice Banking,"A process that allows a person to record a set list of phrases with their own voice, while they still have the ability to do so. This recording is then converted to create a personal synthetic voice."
Voice Output Communication Aid (VOCA),Electronic devices which provide individuals who can not meet their daily communication needs with the capabilities of having voice output.
Word Prediction,"An ""intelligent"" word processing feature that can alleviate writing breakdowns for a range of students simply by reducing the number of keystrokes necessary for typing words by suggesting commonly used words as the user types"
Word Retrieval,"A person's ability to think of the right word when he/she needs it, such as during conversation."
Working Memory,A cognitive system with a limited capacity that can hold information temporarily. Working memory is important for reasoning and the guidance of decision-making and behavior.
Writing Sample,
X-linked,"A trait where a gene is located on the X chromosome. Humans and other mammals have two sex chromosomes, the X and the Y. In an X-linked or sex linked disease, it is usually males that are affected because they have a single copy of the X chromosome that carries the mutation."
Zone of Proximal Development (ZPD),Involves the difference between the child's actual level of development as determined by independent performance and the child's potential level of development accomplished through collaborative interaction with the more skilled partner.
